TEAMS,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
Toronto Raptors,11,1,.917,-  ,6-0,5-1,2-0,5-1,117.1,107.8,9.3  ,W5,9-1
Golden State Warriors,10,2,.833,1  ,6-1,4-1,1-0,6-1,122.4,111.8,10.7 ,L1,8-2
Milwaukee Bucks,9,2,.818,1.5,6-0,3-2,1-0,6-1,121.3,107.6,13.6 ,W1,8-2
Portland Trail Blazers,9,3,.750,2  ,6-2,3-1,1-0,6-1,117.2,107.2,10.0 ,W3,7-3
Denver Nuggets,9,3,.750,2  ,6-1,3-2,1-0,6-2,109.6,102.1,7.5  ,L2,7-3
Oklahoma City Thunder,7,4,.636,3.5,4-2,3-2,0-0,4-3,110.2,106.2,4.0  ,W7,7-3
Philadelphia 76ers,8,5,.615,3.5,7-0,1-5,0-3,7-5,112.4,112.9,-0.5 ,W2,6-4
Indiana Pacers,8,5,.615,3.5,3-3,5-2,2-1,6-2,105.9,102.1,3.8  ,W1,6-4
San Antonio Spurs,6,4,.600,4  ,4-2,2-2,2-0,6-1,110.9,109.8,1.1  ,L2,6-4
Memphis Grizzlies,6,4,.600,4  ,4-0,2-4,0-0,4-3,102.2,100.6,1.6  ,W1,6-4
Boston Celtics,7,5,.583,4  ,3-1,4-4,2-1,5-3,106.1,103.8,2.3  ,L1,6-4
Sacramento Kings,7,5,.583,4  ,3-2,4-3,0-0,3-3,117.8,118.1,-0.3 ,W1,7-3
Detroit Pistons,6,5,.545,4.5,3-2,3-3,2-0,6-5,110.7,111.1,-0.4 ,W2,5-5
LA Clippers,6,5,.545,4.5,4-1,2-4,0-0,4-4,115.2,110.4,4.8  ,L1,6-4
Charlotte Hornets,6,6,.500,5  ,4-2,2-4,4-0,6-5,116.8,109.7,7.2  ,L1,5-5
Brooklyn Nets,6,6,.500,5  ,3-2,3-4,2-1,4-3,109.6,108.8,0.8  ,W3,5-5
Utah Jazz,6,6,.500,5  ,2-4,4-2,0-2,5-5,111.6,109.9,1.7  ,W2,5-5
Miami Heat,5,6,.455,5.5,3-3,2-3,1-4,3-5,110.6,110.1,0.5  ,L1,5-5
Los Angeles Lakers,5,6,.455,5.5,3-3,2-3,1-0,5-5,118.5,119.2,-0.7 ,W1,5-5
New Orleans Pelicans,5,6,.455,5.5,4-1,1-5,1-1,3-6,117.5,118.6,-1.1 ,W1,4-6
Orlando Magic,5,7,.417,6  ,3-5,2-2,2-1,4-4,102.6,109.7,-7.1 ,W1,4-6
Houston Rockets,4,6,.400,6  ,0-4,4-2,0-1,1-6,102.9,108.9,-6.0 ,L1,4-6
New York Knicks,4,8,.333,7  ,2-4,2-4,1-2,3-7,107.3,109.9,-2.6 ,W1,3-7
Minnesota Timberwolves,4,9,.308,7.5,4-1,0-8,1-1,2-7,110.5,117.7,-7.2 ,L5,3-7
Dallas Mavericks,3,8,.273,7.5,3-2,0-6,0-1,1-5,110.7,115.3,-4.5 ,L1,3-7
Chicago Bulls,3,9,.250,8  ,1-5,2-4,0-2,3-4,107.2,114.3,-7.2 ,L1,3-7
Atlanta Hawks,3,9,.250,8  ,2-4,1-5,1-1,2-7,109.6,119.3,-9.7 ,L3,3-7
Washington Wizards,2,9,.182,8.5,1-3,1-6,0-2,1-3,110.0,120.2,-10.2,L2,2-8
Phoenix Suns,2,9,.182,8.5,2-5,0-4,0-2,2-6,101.4,114.0,-12.6,L2,1-9
